subject_id	subject_label	predicate_id	object_id	object_label	comment
APO:0000003	decreased	skos:exactMatch	PATO:0002301	decreased quality	
APO:0000004	increased	skos:exactMatch	PATO:0002300	increased quality	
APO:0000112	inviable	skos:exactMatch	PATO:0000718	lethal (sensu genetics)	Alternatively: PATO:0001422 dead
APO:0000113	viable	skos:exactMatch	PATO:0000719	viable	
APO:0000002	abnormal	skos:exactMatch	PATO:0000069	deviation (from_normal)	
APO:0000117	normal	skos:exactMatch	PATO:0000461	normal	
APO:0000245	decreased rate	skos:exactMatch	PATO:0000911	decreased rate	
APO:0000152	haploinsufficient	skos:broadMatch	PATO:0000069	deviation (from_normal)	This is a class which is an amalgam of phenotype and genotype.
APO:0000005	absent	skos:exactMatch	PATO:0000462	absent	
APO:0000097	auxotrophy	skos:exactMatch	PATO:0000422	auxotrophic	I am assuming that this is a quality, not a process.
APO:0000246	increased rate	skos:exactMatch	PATO:0000912	increased rate	
APO:0000153	petite	??	0	NONE	This is a complex phenotype. It can be modelled as 1: abnormal GO:0009060 aerobic respiration, or 2: decreased colony size.
APO:0000252	normal rate	skos:exactMatch	PATO:0045000	normal rate	
APO:0000154	petite-negative	??	0	NONE	This is a conditional phenotype, where the observable characteristics depend on a particular genotype. In other words, this class is an amalgam of phenotype and genotype.
APO:0000250	arrested	skos:exactMatch	PATO:0000297	arrested	
APO:0000249	delayed	skos:exactMatch	PATO:0000502	delayed	
APO:0000330	haploproficient	skos:broadMatch	PATO:0000069	deviation (from_normal)	This is a class which is an amalgam of phenotype and genotype.
APO:0000045	sterile	skos:exactMatch	PATO:0000956	sterile	
APO:0000248	increased duration	skos:exactMatch	PATO:0000498	increased duration	
APO:0000251	premature	skos:exactMatch	PATO:0000694	premature	
APO:0000247	decreased duration	skos:exactMatch	PATO:0000499	decreased duration	
APO:0000043	spore wall formation	skos:exactMatch	GO:0030476	ascospore wall assembly	This does not look like a PATO quality.
APO:0000076	mitochondrial transport	skos:exactMatch	GO:0170036	import into the mitochondrion	This does not look like a PATO quality.
APO:0000149	protein/peptide accumulation	skos:broadMatch	PATO:0002269	accumulation	Text definition shows a reciprocal relationship compared with what is implied by the label.
APO:0000310	growth in exponential phase	skos:broadMatch	GO:0016049	cell growth	This does not look like a PATO quality.
